,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.32068376541137694,0.0036142695007585803,0.06245541572570801,0.0019612066592924644,1,auto,"{'C': 1, 'gamma': 'auto'}",0.18418713900288797,0.20611333293353026,0.2238939724332231,0.1838736597099666,0.20061389508883928,0.21498138014895882,0.2240762276851378,0.2033092972544355,0.1806084988622901,0.21718296253629968,0.2038840365655569,0.015666084724474495,1
1,0.44359259605407714,0.0024433725576635105,0.06375622749328613,0.0015537424576037397,1,0.01,"{'C': 1, 'gamma': 0.01}",0.12409655722754216,0.11049220758776303,0.11679717183731457,0.1282386006962278,0.11129470964232287,0.12444377944976441,0.12065832009553477,0.1176239799121155,0.11021987643307894,0.12340901272789817,0.11872742156095621,0.006148156521170806,8
2,0.45540287494659426,0.002685912642801628,0.06305577754974365,0.0010009527547156778,1,0.1,"{'C': 1, 'gamma': 0.1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
3,0.5316704750061035,0.002996019375558778,0.07346501350402831,0.0011145641257514782,1,1,"{'C': 1, 'gamma': 1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
4,0.32528934478759763,0.003408984034228359,0.06265544891357422,0.002334566888982166,5,auto,"{'C': 5, 'gamma': 'auto'}",0.16552501329989358,0.17251228959131568,0.19308582189938125,0.16861871980070017,0.162593599251206,0.16858945128438974,0.16483823572950929,0.17883940076179147,0.16529740826127978,0.18193354453164376,0.17218334844111105,0.009163390194982392,2
5,0.455964469909668,0.0036556961844578435,0.06326663494110107,0.0013264876778799543,5,0.01,"{'C': 5, 'gamma': 0.01}",0.12919492894056847,0.1230209093612305,0.13154587054007214,0.13655289889678826,0.12481810145518836,0.13201355639154885,0.12759103073554456,0.13174827369742625,0.12593159516665317,0.12591629266965865,0.12883334578546793,0.003925173675482227,6
6,0.4747431993484497,0.0014066426591795504,0.06425690650939941,0.002041536035270784,5,0.1,"{'C': 5, 'gamma': 0.1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
7,0.5482852697372437,0.00442661679021963,0.07356514930725097,0.0015012423524743814,5,1,"{'C': 5, 'gamma': 1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
8,0.3422027587890625,0.00359357576570796,0.06065382957458496,0.000917301967650175,10,auto,"{'C': 10, 'gamma': 'auto'}",0.15622625018999847,0.18224128972541628,0.194926034912654,0.1608884660289656,0.16990354077167383,0.16061046511627908,0.16139231352801167,0.1666830093123581,0.16691224079716496,0.17601079191366473,0.16957944022961866,0.011229671233829569,3
9,0.45300092697143557,0.003443998275467618,0.06255526542663574,0.0009228703317112493,10,0.01,"{'C': 10, 'gamma': 0.01}",0.1336199935400517,0.12019605060416837,0.13295829991860322,0.1374300918792444,0.12291751665986672,0.13062466750265997,0.12948497012948396,0.13222978371283456,0.12593159516665317,0.12342921256629946,0.12888221816798656,0.0052554862268037504,5
10,0.470316219329834,0.002811313200273907,0.0631558895111084,0.0011367153483088023,10,0.1,"{'C': 10, 'gamma': 0.1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
11,0.5466843843460083,0.0020530697584030164,0.07286462783813477,0.0007488953399653695,10,1,"{'C': 10, 'gamma': 1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
12,0.34495551586151124,0.005564151687298325,0.061805009841918945,0.0025047636582709353,20,auto,"{'C': 20, 'gamma': 'auto'}",0.1548373613011096,0.17112227436320945,0.19588905494347064,0.14964609885439503,0.16431058551531588,0.14947109173126616,0.15960344170647472,0.1703144395829498,0.1560301144489369,0.17601079191366473,0.1647235254360793,0.013529811017746259,4
13,0.4525370359420776,0.0022830032856362066,0.06341836452484131,0.0015486425553556883,20,0.01,"{'C': 20, 'gamma': 0.01}",0.13171027131782945,0.11878362122563728,0.13013344116154107,0.13791160189465274,0.12346661226710187,0.13062466750265997,0.12948497012948396,0.1308173543343035,0.12403765577271375,0.12204032367741058,0.12790105192833343,0.005387042660641719,7
14,0.4703161001205444,0.002120891126259288,0.06275568008422852,0.0009007242456743826,20,0.1,"{'C': 20, 'gamma': 0.1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
15,0.5441815376281738,0.0037196326007244277,0.07296452522277833,0.0012217937064454615,20,1,"{'C': 20, 'gamma': 1}",0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333334,1.3877787807814457e-17,9
